[(1, [61])]
         330309 function calls (319485 primitive calls) in 2.894 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _synchronization.py:77(Event)
        2    0.000    0.000    0.001    0.000 _tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tasks.py:104(FailAfterContextManager)
        1    0.000    0.000    0.000    0.000 _tasks.py:16(_IgnoredTaskStatus)
        1    0.000    0.000    0.000    0.000 _tasks.py:21(TaskStatus)
        1    0.000    0.000    0.000    0.000 _tasks.py:24(CancelScope)
        1    0.000    0.000    0.000    0.000 _tasks.py:38(TaskGroup)
        2    0.000    0.000    0.000    0.000 _testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _testing.py:11(TestRunner)
        1    0.000    0.000    0.000    0.000 _testing.py:9(TaskInfo)
        1    0.000    0.000    0.000    0.000 _trace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trace.py:9(Trace)
        1    0.000    0.000    0.019    0.019 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:151(_set_up_aliases)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 _typedattr.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _typedattr.py:18(typed_attribute)
        1    0.000    0.000    0.000    0.000 _typedattr.py:23(TypedAttributeSet)
        2    0.000    0.000    0.000    0.000 _typedattr.py:30(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _typedattr.py:41(TypedAttributeProvider)
        1    0.000    0.000    0.003    0.003 _types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _types.py:110(SyncByteStream)
        1    0.000    0.000    0.000    0.000 _types.py:124(AsyncByteStream)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:30(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:360(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:367(errstate)
        5    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
        1    0.000    0.000    0.003    0.003 _urlparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _urlparse.py:149(urlparse)
        1    0.000    0.000    0.000    0.000 _urlparse.py:159(<genexpr>)
        1    0.000    0.000    0.000    0.000 _urlparse.py:284(encode_host)
        1    0.000    0.000    0.000    0.000 _urlparse.py:330(normalize_port)
        1    0.000    0.000    0.000    0.000 _urlparse.py:359(validate_path)
        2    0.000    0.000    0.000    0.000 _urlparse.py:421(is_safe)
        2    0.000    0.000    0.000    0.000 _urlparse.py:436(quote)
        1    0.000    0.000    0.000    0.000 _urlparse.py:94(ParseResult)
        1    0.000    0.000    0.004    0.004 _urls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _urls.py:11(URL)
        1    0.000    0.000    0.000    0.000 _urls.py:277(raw_path)
        1    0.000    0.000    0.000    0.000 _urls.py:412(QueryParams)
        1    0.000    0.000    0.000    0.000 _urls.py:417(__init__)
        1    0.000    0.000    0.000    0.000 _urls.py:71(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:107(Sentinel)
       15    0.000    0.000    0.000    0.000 _util.py:108(__new__)
        1    0.000    0.000    0.000    0.000 _util.py:12(ProtocolError)
        1    0.000    0.000    0.000    0.000 _util.py:59(LocalProtocolError)
        1    0.000    0.000    0.000    0.000 _util.py:80(RemoteProtocolError)
        2    0.000    0.000    0.002    0.001 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:22(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _utils.py:25(<listcomp>)
        8    0.000    0.000    0.000    0.000 _utils.py:29(normalize_header_key)
        1    0.000    0.000    0.000    0.000 _utils.py:324(Timer)
        1    0.000    0.000    0.000    0.000 _utils.py:355(URLPattern)
        4    0.000    0.000    0.000    0.000 _utils.py:45(normalize_header_value)
        5    0.000    0.000    0.003    0.001 _version.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        3    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 _version.py:21(get_version_string)
        6    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        6    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        3    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.001    0.001 _writers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _writers.py:101(ChunkedWriter)
        1    0.000    0.000    0.000    0.000 _writers.py:116(Http10Writer)
        1    0.000    0.000    0.000    0.000 _writers.py:62(BodyWriter)
        1    0.000    0.000    0.000    0.000 _writers.py:84(ContentLengthWriter)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:101(PathEntryFinder)
      110    0.000    0.000    0.004    0.000 abc.py:105(__new__)
       37    0.000    0.000    0.000    0.000 abc.py:110(register)
      161    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
   117/47    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       24    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 abc.py:150(ResourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:166(InspectLoader)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 abc.py:219(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:256(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:265(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:312(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:32(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:354(Traversable)
        1    0.000    0.000    0.000    0.000 abc.py:422(TraversableResources)
        1    0.000    0.000    0.000    0.000 abc.py:64(MetaPathFinder)
      115    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 aggregation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 aggregation.py:185(_CollectionAggregationCommand)
        1    0.000    0.000    0.000    0.000 aggregation.py:203(_CollectionRawAggregationCommand)
        1    0.000    0.000    0.000    0.000 aggregation.py:212(_DatabaseAggregationCommand)
        1    0.000    0.000    0.000    0.000 aggregation.py:24(_AggregationCommand)
        1    0.000    0.000    0.000    0.000 anyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anyio.py:19(AnyIOStream)
        1    0.000    0.000    0.000    0.000 anyio.py:96(AnyIOBackend)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1222(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1235(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1245(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1278(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1336(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1367(StructuredVoidFormat)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:493(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.001    0.001 asgi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgi.py:38(ASGIResponseStream)
        1    0.000    0.000    0.000    0.000 asgi.py:46(ASGITransport)
        1    0.000    0.000    0.001    0.001 asyncbackend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asyncbackend.py:25(AsyncLibraryNotFoundError)
        1    0.000    0.000    0.169    0.169 asyncquery.py:1(<module>)
        1    0.000    0.000    0.007    0.007 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:539(_AuthContext)
        1    0.000    0.000    0.000    0.000 auth.py:564(_ScramContext)
        1    0.000    0.000    0.000    0.000 auth.py:581(_X509Context)
        1    0.000    0.000    0.000    0.000 auth.py:589(_OIDCContext)
        1    0.000    0.000    0.000    0.000 auth.py:70(_Cache)
        1    0.000    0.000    0.000    0.000 auth_aws.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth_aws.py:24(AwsSaslContext)
        1    0.000    0.000    0.000    0.000 auth_aws.py:47(_AwsSaslContext)
        1    0.000    0.000    0.004    0.004 auth_oidc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth_oidc.py:29(_OIDCProperties)
        1    0.000    0.000    0.000    0.000 auth_oidc.py:88(_OIDCAuthenticator)
        1    0.000    0.000    0.000    0.000 auto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auto.py:9(AutoBackend)
        2    0.000    0.000    0.001    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:10(BaseTransport)
        1    0.000    0.000    0.000    0.000 base.py:12(NetworkStream)
        1    0.000    0.000    0.000    0.000 base.py:34(NetworkBackend)
        1    0.000    0.000    0.000    0.000 base.py:57(AsyncNetworkStream)
        1    0.000    0.000    0.000    0.000 base.py:61(AsyncBaseTransport)
        1    0.000    0.000    0.000    0.000 base.py:83(AsyncNetworkBackend)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
        1    0.000    0.000    0.009    0.009 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:210(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 base_events.py:278(Server)
        1    0.000    0.000    0.000    0.000 base_events.py:389(BaseEventLoop)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:255(WriteSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:281(ReadSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:191(Binary)
        1    0.000    0.000    0.000    0.000 binary.py:65(UuidRepresentation)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.465    0.465 bot_general.py:1(<module>)
        2    0.014    0.007    2.146    1.073 bot_general.py:25(find_image_in_index)
        1    0.000    0.000    2.421    2.421 bot_general.py:66(find_image_in_indexes)
        1    0.000    0.000    0.002    0.002 bulk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bulk.py:139(_Bulk)
        1    0.000    0.000    0.000    0.000 bulk.py:63(_Run)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:156(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:162(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:26(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:33(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:412(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:548(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:560(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:57(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:583(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:71(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:74(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:76(__init__)
        1    0.000    0.000    0.001    0.001 change_stream.py:1(<module>)
        1    0.000    0.000    0.000    0.000 change_stream.py:432(CollectionChangeStream)
        1    0.000    0.000    0.000    0.000 change_stream.py:450(DatabaseChangeStream)
        1    0.000    0.000    0.000    0.000 change_stream.py:468(ClusterChangeStream)
        1    0.000    0.000    0.000    0.000 change_stream.py:85(ChangeStream)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1399(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1460(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1465(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1468(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1471(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1476(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1479(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1482(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1496(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1499(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1502(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1505(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1508(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1515(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1520(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:176(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:239(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:790(HTTPConnection)
        1    0.000    0.000    0.007    0.007 client_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_options.py:170(ClientOptions)
        1    0.000    0.000    0.002    0.002 client_session.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_session.py:1015(_EmptyServerSession)
        1    0.000    0.000    0.000    0.000 client_session.py:1029(_ServerSession)
        1    0.000    0.000    0.000    0.000 client_session.py:1061(_ServerSessionPool)
        1    0.000    0.000    0.000    0.000 client_session.py:174(SessionOptions)
        1    0.000    0.000    0.000    0.000 client_session.py:238(TransactionOptions)
        1    0.000    0.000    0.000    0.000 client_session.py:351(_TransactionContext)
        1    0.000    0.000    0.000    0.000 client_session.py:368(_TxnState)
        1    0.000    0.000    0.000    0.000 client_session.py:377(_Transaction)
        1    0.000    0.000    0.000    0.000 client_session.py:468(ClientSession)
        1    0.000    0.000    0.000    0.000 code.py:1(<module>)
        1    0.000    0.000    0.000    0.000 code.py:21(Code)
        1    0.000    0.000    0.002    0.002 codec_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codec_options.py:109(TypeRegistry)
        2    0.000    0.000    0.000    0.000 codec_options.py:136(__init__)
        1    0.000    0.000    0.000    0.000 codec_options.py:192(DatetimeConversion)
        1    0.000    0.000    0.000    0.000 codec_options.py:227(_BaseCodecOptions)
        1    0.000    0.000    0.000    0.000 codec_options.py:286(CodecOptions)
        4    0.000    0.000    0.000    0.000 codec_options.py:289(__init__)
        4    0.000    0.000    0.000    0.000 codec_options.py:374(__new__)
        2    0.000    0.000    0.000    0.000 codec_options.py:455(_options_dict)
        2    0.000    0.000    0.000    0.000 codec_options.py:47(_raw_document_class)
        2    0.000    0.000    0.000    0.000 codec_options.py:471(with_options)
        1    0.000    0.000    0.000    0.000 codec_options.py:53(TypeEncoder)
        1    0.000    0.000    0.000    0.000 codec_options.py:72(TypeDecoder)
        1    0.000    0.000    0.000    0.000 codec_options.py:91(TypeCodec)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 collation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collation.py:24(CollationStrength)
        1    0.000    0.000    0.000    0.000 collation.py:46(CollationAlternate)
        1    0.000    0.000    0.000    0.000 collation.py:65(CollationMaxVariable)
        1    0.000    0.000    0.000    0.000 collation.py:78(CollationCaseFirst)
        1    0.000    0.000    0.000    0.000 collation.py:94(Collation)
        1    0.000    0.000    0.022    0.022 collection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collection.py:113(Collection)
        1    0.000    0.000    0.000    0.000 collection.py:92(ReturnDocument)
        1    0.000    0.000    0.000    0.000 command_cursor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 command_cursor.py:311(RawBatchCommandCursor)
        1    0.000    0.000    0.000    0.000 command_cursor.py:33(CommandCursor)
        1    0.000    0.000    0.013    0.013 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:860(BaseObject)
        1    0.000    0.000    0.000    0.000 common.py:946(_CaseInsensitiveDictionary)
        1    0.000    0.000    0.002    0.002 compression_support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compression_support.py:109(SnappyContext)
        1    0.000    0.000    0.000    0.000 compression_support.py:117(ZlibContext)
        1    0.000    0.000    0.000    0.000 compression_support.py:127(ZstdContext)
        1    0.000    0.000    0.000    0.000 compression_support.py:91(CompressionSettings)
        1    0.000    0.000    0.000    0.000 config-3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
        2    0.000    0.000    0.070    0.035 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:29(AsyncHTTPConnection)
        1    0.000    0.000    0.000    0.000 connection.py:29(HTTPConnection)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:15(RequestStatus)
        2    0.000    0.000    0.000    0.000 connection_pool.py:330(ConnectionPoolByteStream)
        1    0.000    0.000    0.000    0.000 connection_pool.py:40(AsyncConnectionPool)
        1    0.000    0.000    0.000    0.000 connection_pool.py:40(ConnectionPool)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
       20    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        2    0.000    0.000    0.000    0.000 contextlib.py:285(asynccontextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:420(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:423(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:426(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        2    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1249(Absent)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1251(CookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1779(LoadError)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1781(FileCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1864(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1984(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:744(Cookie)
        1    0.000    0.000    0.000    0.000 cookiejar.py:842(CookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:875(DefaultCookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:885(__init__)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        3    0.000    0.000    0.010    0.003 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1125(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:12(IDNAError)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
        1    0.000    0.000    0.000    0.000 core.py:148(MAError)
        1    0.000    0.000    0.000    0.000 core.py:156(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:17(IDNABidiError)
        1    0.000    0.000    0.000    0.000 core.py:190(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:194(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:22(InvalidCodepoint)
        1    0.000    0.000    0.000    0.000 core.py:2372(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2378(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2589(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:27(InvalidCodepointContext)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2952(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3127(view)
        4    0.000    0.000    0.000    0.000 core.py:3417(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3433(shape)
        1    0.000    0.000    0.002    0.002 core.py:51(where)
        1    0.000    0.000    0.000    0.000 core.py:6340(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6535(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6539(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6545(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6563(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6638(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6730(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6739(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6839(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6850(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6855(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:797(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:806(__init__)
        1    0.000    0.000    0.000    0.000 core.py:822(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:830(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8371(_convert2ma)
       13    0.000    0.000    0.000    0.000 core.py:8384(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8389(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:84(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:840(_DomainSafeDivide)
       13    0.000    0.000    0.000    0.000 core.py:8401(_replace_return_type)
        6    0.000    0.000    0.000    0.000 core.py:846(__init__)
        1    0.000    0.000    0.000    0.000 core.py:861(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:867(__init__)
        1    0.000    0.000    0.000    0.000 core.py:877(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:883(__init__)
        1    0.000    0.000    0.000    0.000 core.py:893(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 core.py:903(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 core.py:977(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.001    0.001 coroutines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coroutines.py:18(_is_debug_mode)
        1    0.000    0.000    0.000    0.000 coroutines.py:36(CoroWrapper)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:181(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:202(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.001    0.001 cursor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cursor.py:102(CursorType)
        1    0.000    0.000    0.000    0.000 cursor.py:131(_SocketManager)
        1    0.000    0.000    0.000    0.000 cursor.py:1312(RawBatchCursor)
        1    0.000    0.000    0.000    0.000 cursor.py:160(Cursor)
        1    0.000    0.000    0.000    0.000 database.py:1(<module>)
        1    0.000    0.000    0.000    0.000 database.py:72(Database)
       24    0.000    0.000    0.000    0.000 dataclasses.py:1014(<listcomp>)
