[(1, [61])]
         330309 function calls (319485 primitive calls) in 2.894 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      483    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:522(_calc_mode)
  455/453    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      453    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:683(_code_to_timestamp_pyc)
      849    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      483    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
     1361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    454/1    0.001    0.000    0.465    0.465 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:942(source_to_code)
      454    0.004    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       42    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.262    0.262 HNSW_index.py:1(<module>)
        2    0.008    0.004    0.009    0.004 HNSW_index.py:175(get_neighbors_desc_indexes)
        2    0.023    0.012    0.026    0.013 HNSW_index.py:59(load_index)
        1    0.000    0.000    0.000    0.000 OPT.py:1(<module>)
        1    0.000    0.000    0.000    0.000 OPT.py:29(OPT)
        1    0.000    0.000    0.000    0.000 SOA.py:1(<module>)
        1    0.000    0.000    0.000    0.000 SOA.py:26(SOA)
        1    0.000    0.000    0.000    0.000 TSIG.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TSIG.py:27(TSIG)
        1    0.000    0.000    0.001    0.001 ZONEMD.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ZONEMD.py:12(ZONEMD)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       49    0.003    0.000    1.265    0.026 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
